metric,domain_a,domain_b,threshold,top_k,layer,layer_ordinal,intersection,overlap_fraction,jaccard_similarity
routing_frequency,general,math,0.1,7,0,0,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,1,1,4,0.5714285714285714,0.4
routing_frequency,general,math,0.1,7,2,2,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,3,3,0,0.0,0.0
routing_frequency,general,math,0.1,7,4,4,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,5,5,0,0.0,0.0
routing_frequency,general,math,0.1,7,6,6,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,7,7,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,8,8,0,0.0,0.0
routing_frequency,general,math,0.1,7,9,9,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,10,10,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,11,11,3,0.42857142857142855,0.2727272727272727
routing_frequency,general,math,0.1,7,12,12,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,13,13,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,14,14,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,15,15,4,0.5714285714285714,0.4
routing_frequency,general,math,0.1,7,average,average,1.6875,0.24107142857142855,0.14877622377622376
routing_frequency,general,math,0.25,16,0,0,4,0.25,0.14285714285714285
routing_frequency,general,math,0.25,16,1,1,11,0.6875,0.5238095238095238
routing_frequency,general,math,0.25,16,2,2,3,0.1875,0.10344827586206896
routing_frequency,general,math,0.25,16,3,3,8,0.5,0.3333333333333333
routing_frequency,general,math,0.25,16,4,4,6,0.375,0.23076923076923078
routing_frequency,general,math,0.25,16,5,5,6,0.375,0.23076923076923078
routing_frequency,general,math,0.25,16,6,6,6,0.375,0.23076923076923078
routing_frequency,general,math,0.25,16,7,7,9,0.5625,0.391304347826087
routing_frequency,general,math,0.25,16,8,8,7,0.4375,0.28
routing_frequency,general,math,0.25,16,9,9,7,0.4375,0.28
routing_frequency,general,math,0.25,16,10,10,7,0.4375,0.28
routing_frequency,general,math,0.25,16,11,11,10,0.625,0.45454545454545453
routing_frequency,general,math,0.25,16,12,12,11,0.6875,0.5238095238095238
routing_frequency,general,math,0.25,16,13,13,9,0.5625,0.391304347826087
routing_frequency,general,math,0.25,16,14,14,8,0.5,0.3333333333333333
routing_frequency,general,math,0.25,16,15,15,9,0.5625,0.391304347826087
routing_frequency,general,math,0.25,16,average,average,7.5625,0.47265625,0.32008483270852084
routing_frequency,general,math,0.5,32,0,0,18,0.5625,0.391304347826087
routing_frequency,general,math,0.5,32,1,1,23,0.71875,0.5609756097560976
routing_frequency,general,math,0.5,32,2,2,18,0.5625,0.391304347826087
routing_frequency,general,math,0.5,32,3,3,21,0.65625,0.4883720930232558
routing_frequency,general,math,0.5,32,4,4,20,0.625,0.45454545454545453
